,product_id,name,actual_price,discount_price,ratings,brand,category,description,average_rating,image
330,331,Organic Rasam Ready Mix - Long Pepper,85.0,85.0,4.2,Aaha Oho,Snacks & Branded Foods,"This is a healthy form of Rasam which is made from Long Peppers. Long Peppers has been proven as prevention of many forms of cancers. This can be consumed as soup. Long peppers help in bronchitis, asthma, increases immunity, improves digestion and remove toxins. Certified organic products are only used.",4.2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
331,332,Gold Caramel Candy,50.0,50.0,4.3,ALPENLIEBE,Snacks & Branded Foods,"Your trusted brand, Alpenliebe is known for its exceptionally smooth and creamy, melt-in-your-mouth qualities. Full of milky richness, Alpenliebe Gold is a fun-filled candy to have at any time of the day. Show your loved ones how much they mean to you by sharing Alpenliebe candies with them. Alpenliebe – bring hearts closer",4.3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
332,333,Masala - Birayani Pulao,80.0,80.0,4.2,Mdh,"Foodgrains, Oil & Masala",Mdh Briyani Masala Is An Aromatic Mix Of Spices. It Made Up Of Quality Of Ingredients. It Can Be Used To Make Exotic Briyani.,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
333,334,Hair Fall Control Oil,290.0,145.0,4.0,Dr Batra's ,Beauty & Hygiene,"Dr Batra’s Hair Fall Control Oil contains Tulsi extract, Brahmi Oil and Thuja. Enriched with the goodness of Tulsi extract stimulates the proliferating cells in the hair root. Brahmi Oil strengthens hair roots by providing nutrition. Thuja controls hair loss. The Hair Oil nourishes the hair cuticles without a feeling of sticky or heavy. It has a very soothing calming effect not only on hair but also on the nervous system. Its natural ingredients prevent hair loss and boost hair growth.All Dr Batra’s Products are formulated with natural actives. The proportion of surfactants in Dr Batra’s Hair Care Products is much lower, as compared to other cosmetic products, thus protecting the scalp and hair from chemical damage. Dr Batra’s Hair Care Products does not contain SLS & Paraben (a very harmful and carcinogenic).",4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
334,335,Bio Renew White Strawberry & Sweet Mint Conditioner,650.0,468.0,4.4,Herbal Essence,Beauty & Hygiene,"Gently condition your hair with Herbal Essence's bio-renew White Strawberry & Sweet Mint Conditioner to leave it voluminous and vibrant. Crafted with bio-renew, our signature blend of essential antioxidants, aloe and sea kelp, White Strawberry & Sweet Mint Conditioner also helps purify and protect against impurities to bring your hair back to life. Free of parabens, gluten and colourants, White Strawberry & Sweet Mint Conditioner gently conditions as it infuses crisp notes of white strawberry, delicate jasmine and invigorating mint into your hair.",4.4,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
335,336,"Comfort Bathroom Stool Plastic/Patla - Plain, Big, Assorted",426.0,259.0,3.4,JOYO,Cleaning & Household,Joyo Patla is a portable furniting item used for sitting. It can also be used in bathrooms to facilitate bathing or for washing clothes while sitting on it. It is made of strong and durable material and is easy to carry around.,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
336,337,Bounce Biscuits - Elaichi Creme,30.0,27.0,4.1,Sunfeast,Snacks & Branded Foods,"Deliciously creamy and deliciously fun - Sunfeast Bounce. These biscuits are available in four tasty flavours- Chocolate, Orange, Elaichi and Pineapple. The flavoured biscuit shell encasing the soft creamy centre transports you to a world of fun and excitement!",4.1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
337,338,"Pumice Stone & Emery Foot Filer - FFL3407, Colour May Vary",175.0,175.0,3.8,Kaiv,Beauty & Hygiene,nan,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
338,339,Light Soy Sauce - Reduced Salt,385.0,346.5,3.9,Tai Hua,Gourmet & World Food,"Tai Hua soy sauces are traditional Chinese flavoured soy sauces, naturally brewed from selected premium soy beans, wheat flour, water and salt. Tai Hua Sauce has well-balanced flavours of saltiness, sweetness and tartness. Ideal to cook food or use as a dip. Tai Hua Soy sauces are manufactured in Singapore.",3.9,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
339,340,"Kitchen Cleaning/Dusting Microfibre Cloth - Red & Grey, G130064RG",258.0,219.0,4.0,Liao,Cleaning & Household,"Keep your kitchen tidy and clean with these red and grey coloured microfibre cloth. Since the cloth is made using microfibre, it can absorb more water than its weight. It is easy to clean and dry. It traps dirt like a magnet. The fibres are super soft hence makes the cleaning ultra smooth and relaxing. It's a pack of six.",4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
340,341,Painting Kit,199.0,196.0,4.7,Doms,Cleaning & Household,"Doms Painting Kit is a perfect value kit that comes in a convenient and attractive pack. It is a perfect kit with assorted products suitable to gift your children, their friends or students. It is suitable for beginners to start painting. The kit contains a Drawing Book, 12 Shade Bi-Colour Pencil, 12 Shade Oil Pastels, 12 Shade Water Colour Pens, Water Colour Cake Pack, 6 Shade Glitter, 12 Shade Extra Long Wax Crayon and a Pencil Kit.",0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
341,342,Diamond Skin Brightening Kit - Consumer Pack,250.0,150.0,4.0,Joy,Beauty & Hygiene,"Joy Diamond Brightening Facial Kit contains Diamond Ash and Natural Extracts to make skin brighter and polished. It brings out radiance and shining effect of the skin. Step 1: Joy Diamond Scrub Cleanser: Enriched with Diamond Ash, Vitamin E, Wheatgerm and Almond oil, this unique scrub cleanser effectively cleanses the skin to reveal natural brightness. It revitalizes and rejuvenates skin. Step 2: Joy Diamond Skin Brightening Cream: Contains Diamond Ash and natural moisturisers which improve the skin’s ability to retain moisture and hydrate itself. The skin’s resilience and elasticity improves, making it supple and firm. Step 3: Joy Diamond Youthful Shine pack: Detoxifying shine pack removes dead skin cells and regenerates new cells to provide glow and youthful shine. Extracts of Aloe, Almond, Hops, Evening Primrose and Gotu Kala increases the vitality of skin by preventing early wrinkles and lines Step 4: Joy Diamond Polish Cream: Zero Oil Cream forms an invisible layer on the skin thereby protecting it from environmental pollution, impurities and UV rays. It imparts a smooth and bright complexion that lasts all day.",4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
342,343,Organic - Turmeric Powder/Arisina Pudi,40.0,32.0,4.7,Turn Organic ,"Foodgrains, Oil & Masala","Turn Organic brought to you its Premium, fresh and healthy Organic Turmeric Powder with no added pesticides and fertilizers. Popularly known as Haldi, commonly used as a spice in Indian cuisine and even curries, for dyeing, and to impart color to mustard condiments.",4.7,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
343,344,Natural Neem Agarbatti,180.0,180.0,3.0,Good knight,Cleaning & Household,"Goodknight Naturals Neem Agarbatti, a 100% natural mosquito repellent agarbatti (incense stick). Goodknight Agarbatti is infused with nature's two most potent natural ingredients - Neem and Turmeric which can repel mosquitoes and provide effective mosquito protection.",0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
344,345,Raspberry Strawberry Preserve,349.0,349.0,3.5,The Gourmet Jar,Gourmet & World Food,"Luscious Raspberries and Juicy Strawberries Blend Together to make this Delightful Preserve That's a Hit with Everyone, Perfect for a Delicious Breakfast and Also for Your Desserts",3.5,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
345,346,Hajmola Maha Candy - Aam+Imli,130.0,117.0,4.4,Dabur,Beauty & Hygiene,"Hajmola Maha Candy is a zingy tangy candy thats fun to have any time of the day. And whats more, it gets your digestive juices working better.
Its a great way to enjoy while staying healthy. The Candys khatta meetha taste is available in two different fun-filled flavours- Albela Aam and Chulbuli Imli  For Beauty tips, tricks & more visitÃ‚ https://bigbasket.blog/",4.4,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
346,347,Rice Bran Oil,215.0,173.0,4.1,Fortune ,"Foodgrains, Oil & Masala","Fortune Rice Bran Health Oil is physically refined oil, it contains Gamma Oryzanol, that reduces cholesterol, keeps heart healthy.
Vitamin E helps in maintaining the balance of the nervous system, natural antioxidants.
Best suitable for health conscious people.",4.1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
347,348,"N95 Washable Face Mask - Blue, Medium",395.0,299.0,3.8,Nirvana,Beauty & Hygiene,"Nirvana's N95 washable masks give protection against 96% of germs and contaminants. This anti-viral mask is designed with 3 layers to keep you guarded against the harmful bacterias and viruses. The outer and inner layers are made from all-natural fabrics like cotton, linen, hemp, and flax, and a nanofibre filter is placed in the middle to provide maximum protection against particulate matter and contaminants.
The filtering efficiency of a mask depends on its proper fit. Nirvana masks have an adjustable secured noseband that always ensures perfect fitting and comfort. It is available in three different sizes (small, medium, and large). Medium Size fits a person weighing between 35 Kg to 65 Kg.",3.8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
